match,n,i,target
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,2477,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
False,1238,100,1
